id,Insult,Comment,tokens
228,0,"""dam willynut your good.""","['``', 'dam', 'willynut', 'good', '.', ""''""]"
229,0,"""plex whore must die""","['``', 'plex', 'whore', 'must', 'die', ""''""]"
230,0,"""yes nas u keep giving us good shit to jam to thank you real hiphop ""","['``', 'yes', 'nas', 'u', 'keep', 'giving', 'us', 'good', 'shit', 'jam', 'thank', 'real', 'hiphop', '``']"
231,1,"""screw you bodine. ""","['``', 'screw', 'bodine.', '``']"
232,0,"""you'll be proven wrong. ""","['``', ""'ll"", 'proven', 'wrong.', '``']"
233,1,"""muthafucka its justin beiber not manny pacquiao. hes a singer not a boxer lilttle white boy doesnt know shit about fighting that was probably his fist time even touch a glove""","['``', 'muthafucka', 'justin', 'beiber', 'manny', 'pacquiao', '.', 'hes', 'singer', 'boxer', 'lilttle', 'white', 'boy', 'doesnt', 'know', 'shit', 'fighting', 'probably', 'fist', 'time', 'even', 'touch', 'glove', ""''""]"
234,0,"""they won't know unless you tell them. ""","['``', 'wo', ""n't"", 'know', 'unless', 'tell', 'them.\\xa0', ""''""]"
235,1,"""lmao no dummy how many times you said bitch please. i realize youre slower than dog shit but at least attemp to keep up lmao""","['``', 'lmao', 'dummy', 'many', 'times', 'said', 'bitch', 'please', '.', 'realize', 'youre', 'slower', 'dog', 'shit', 'least', 'attemp', 'keep', 'lmao', ""''""]"
236,0,"""truth, but are you rich.  isn't that a more relevant situation?""","['``', 'truth', ',', 'rich', '.', ""n't"", 'relevant', 'situation', '?', ""''""]"
237,1,"""know who else doesnt seserve respsct?  ignorant, prejudiced, close minded assholes like you pinkiesout!""","['``', 'know', 'else', 'doesnt', 'seserve', 'respsct', '?', '\\xa0ignorant', ',', 'prejudiced', ',', 'close', 'minded', 'assholes', 'like', 'pinkiesout', '!', ""''""]"
238,1,"""a$ap autumn you stupid bitch it's about countries not states""","['``', '$', 'ap', 'autumn', 'stupid', 'bitch', ""'s"", 'countries', 'states', ""''""]"
239,0,"""leeanne, so sorry for the down time. our little server has been under the weather, but it's feeling fine now. we'll try to prevent it from happening again.""","['``', 'leeanne', ',', 'sorry', 'time', '.', 'little', 'server', 'weather', ',', ""'s"", 'feeling', 'fine', '.', ""'ll"", 'try', 'prevent', 'happening', '.', ""''""]"
240,1,"""you're an idiot. just stop now.""","['``', ""'re"", 'idiot', '.', 'stop', '.', ""''""]"
241,0,"""you are stunningly beautiful......exquisite in very way.......
and your fashion sense is outstanding........ your legs are to die for, and i know great legs, i have been in ballet for 19 years........ and don't get me started about your truly lovely hair..... it's perfect on you.
""","['``', 'stunningly', 'beautiful', '......', 'exquisite', 'way', '.......', '\\nand', 'fashion', 'sense', 'outstanding', '........', 'legs', 'die', ',', 'know', 'great', 'legs', ',', 'ballet', '19', 'years', '........', ""n't"", 'get', 'started', 'truly', 'lovely', 'hair', '.....', ""'s"", 'perfect', 'you.\\n', ""''""]"
242,1,"""you are not an american, do you think landing here dry foot qualifies you as an american""","['``', 'american', ',', 'think', 'landing', 'dry', 'foot', 'qualifies', 'american', ""''""]"
243,1,"""i really feel for you! please tell me that you are just scutca posting under a different screen name, and not really someone that has such low self esteem that you idolise 'their' intelligence?""","['``', 'really', 'feel', '!', 'please', 'tell', 'scutca', 'posting', 'different', 'screen', 'name', ',', 'really', 'someone', 'such\\xa0low', 'self', 'esteem\\xa0that', 'idolise', ""'their"", ""'"", 'intelligence', '?', ""''""]"
244,1,"""really? you're blaming the construction worker? you are a monday morning quarterback douche. ""","['``', 'really', '?', ""'re"", 'blaming', 'construction', 'worker', '?', 'monday', 'morning', 'quarterback', 'douche.', '``']"
245,0,""" you don't know until you try.""","['``', '\\xa0you', ""n't"", 'know', 'try', '.', ""''""]"
246,1,"""nba refs need to get off their high horses... fuckingggg scum""","['``', 'nba', 'refs', 'need', 'get', 'high', 'horses', '...', 'fuckingggg', 'scum', ""''""]"
247,0,"""you must be an arsenal fan, aren't you?""","['``', 'must', 'arsenal', 'fan', ',', ""n't"", '?', ""''""]"
248,0,"""white girls like it rough.... don't ask a nigga too smack ya ass then, she ain't say ""smack it soft""""","['``', 'white', 'girls', 'like', 'rough', '....', ""n't"", 'ask', 'nigga', 'smack', 'ya', 'ass', ',', 'ai', ""n't"", 'say', '``', 'smack', 'soft', ""''"", ""''""]"
249,1,"""sdjammer - you are a true american idiot...""","['``', 'sdjammer', '-', 'true', 'american', 'idiot', '...', ""''""]"
250,0,"""fuck it. pens in 5.""","['``', 'fuck', '.', 'pens', '5', '.', ""''""]"
251,1,"""so which village in uganda are you its idiot? probably kampala.""","['``', 'village', 'uganda', 'idiot', '?', 'probably', 'kampala', '.', ""''""]"
252,1,"""you promised to lick my ass until my roids bleed. so what happened are you still stuck with your daddy's ball up your ass?""","['``', 'promised', 'lick', 'ass', 'roids', 'bleed', '.', 'happened', 'still', 'stuck', 'daddy', ""'s"", 'ball', 'ass', '?', ""''""]"
253,0,"""haha and you still live in the 90's.""","['``', 'haha', 'still', 'live', '90', ""'s"", '.', ""''""]"
254,1,"""how about you shut the fuck up? if this was a seriously depressed person, he would have tried to kill himself already. your comments are always crappy and full of negativity. stop.""","['``', 'shut', 'fuck', '?', 'seriously', 'depressed', 'person', ',', 'would', 'tried', 'kill', 'already', '.', 'comments', 'always', 'crappy', 'full', 'negativity', '.', 'stop', '.', ""''""]"
255,1,"""you are a cocky little f a g so it will be extra sweet when the devils win the cup...again by the way.""","['``', 'cocky', 'little', 'f', 'g', 'extra', 'sweet', 'devils', 'win', 'cup', '...', 'way', '.', ""''""]"
256,0,"""you are too kind""","['``', 'kind', ""''""]"
257,0,"""have you been to arkansas?""","['``', 'arkansas', '?', ""''""]"
258,0,"""yes, i guess you are.""","['``', 'yes', ',', 'guess', '.', ""''""]"
259,1,"""ur fat and gay""","['``', 'ur', 'fat', 'gay', ""''""]"
260,0,"""are you mossad""","['``', 'mossad', ""''""]"
261,0,"""you will name her stacy after your favorite person.""","['``', 'name', 'stacy', 'favorite', 'person', '.', ""''""]"
262,1,"""that fatass goober let  a rapist out of prison so he could rape again, and this time murder all of the witnesses. fuck you huckabee.""","['``', 'fatass', 'goober', 'let', '\\xa0a', 'rapist', 'prison', 'could', 'rape', ',', 'time', 'murder', 'witnesses', '.', 'fuck', 'huckabee', '.', ""''""]"
263,0,"""hi nana...how are you today?""","['``', 'hi', 'nana', '...', 'today', '?', ""''""]"
264,0,"""you must be a thunder fan. the def. haven't been playing better than the spurs, its been up and up imo. only because of homecourt. when the thunder beat the spurs at home, their dangerous. ""","['``', 'must', 'thunder', 'fan', '.', 'def', '.', ""n't"", 'playing', 'better', 'spurs', ',', 'imo', '.', 'homecourt', '.', 'thunder', 'beat', 'spurs', 'home', ',', 'dangerous.', '``']"
265,1,"""mock horror as in ""you didn't build that"" or that anyone should dare ask to tax returns from a presidential candidate?  please jennifer, put away the pom poms and try to develop a sliver of objectivity. after all, you are supposed to be somewhat objective, if not rational. romney has repeatedly failed to condemn the looney element in his party. he has absolutely no backbone, and apparently lacks a filter on his mouth.""","['``', 'mock', 'horror', '``', ""n't"", 'build', ""''"", 'anyone', 'dare', 'ask', 'tax', 'returns', 'presidential', 'candidate', '?', 'please', 'jennifer', ',', 'put', 'away', 'pom', 'poms', 'try', 'develop', 'sliver', 'objectivity', '.', ',', 'supposed', 'somewhat', 'objective', ',', 'rational', '.', 'romney', 'repeatedly', 'failed', 'condemn', 'looney', 'element', 'party', '.', 'absolutely', 'backbone', ',', 'apparently', 'lacks', 'filter', 'mouth', '.', ""''""]"
266,0,"""twas a good effort, but some of your prior material was better =d""","['``', 'twas', 'good', 'effort', ',', 'prior', 'material', 'better', '=d', ""''""]"
267,1,"""you obviously know jack about basket ball. all your opinions are moot at this point""","['``', 'obviously', 'know', 'jack', 'basket', 'ball', '.', 'opinions', 'moot', 'point', ""''""]"
268,1,"""meinsenkaye007: ha! you idiot""","['``', 'meinsenkaye007', ':', 'ha', '!', 'idiot', ""''""]"
269,1,"""not what i was saying at all.. who let your retarded ass out of the basement?""","['``', 'saying', '..', 'let', 'retarded', 'ass', 'basement', '?', ""''""]"
270,1,"""why are you posing as a dodger fan idiot? you might want to clear your history moron. another skirts fan exposed!""","['``', 'posing', 'dodger', 'fan', 'idiot', '?', 'might', 'want', 'clear', 'history', 'moron', '.', 'another', 'skirts', 'fan', 'exposed', '!', ""''""]"
271,0,"""seriously chelsea lol are you and harry harris related ;)??""","['``', 'seriously', 'chelsea', 'lol', 'harry', 'harris', 'related', ';', ')', '?', '?', ""''""]"
272,0,"""great shots chris..what lens were you using?""","['``', 'great', 'shots', 'chris', '..', 'lens', 'using', '?', ""''""]"
273,1,"""yes lets be more like those countries you list

zeig heil you white trash trailer rubbish""","['``', 'yes', 'lets', 'like', 'countries', 'list\\n\\nzeig', 'heil', 'white', 'trash', 'trailer', 'rubbish', ""''""]"
274,0,"""you're welcome
""","['``', ""'re"", 'welcome\\n', ""''""]"
275,0,"""well since feb. any way. now im just trying to get my hands on everything he's been in. ""","['``', 'well', 'since', 'feb.', 'way', '.', 'im', 'trying', 'get', 'hands', 'everything', ""'s"", 'in.', '``']"
276,1,"""you are totally delusional.....

""","['``', 'totally', 'delusional', '.....', '\\n\\n', ""''""]"
277,0,"""you compare israel with the nazi. ""i don't agree"", my...""","['``', 'compare', 'israel', 'nazi', '.', '``', ""n't"", 'agree', ""''"", ',', '...', ""''""]"
278,0,"""denise, girlfriend you are the queen of jello shots.
""","['``', 'denise', ',', 'girlfriend', 'queen', 'jello', 'shots.\\n', ""''""]"
279,1,"""that's funny because, while you were mouthing off, you clearly demonstrated your inability to spell it. but that's to be expected of libtards who exist sans clue.""","['``', ""'s"", 'funny', ',', 'mouthing', ',', 'clearly', 'demonstrated', 'inability', 'spell', '.', ""'s"", 'expected', 'libtards', 'exist', 'sans', 'clue', '.', ""''""]"
280,1,"""nahh i am not like this you're just pussy ass cracker....stfu fag! ""","['``', 'nahh', 'like', ""'re"", 'pussy', 'ass', 'cracker', '....', 'stfu', 'fag', '!', '``']"
281,0,"""vote for barack obama.  because if you don't, mitt romney will be your president.""","['``', 'vote', 'barack', 'obama', '.', ""n't"", ',', 'mitt', 'romney', 'president', '.', ""''""]"
282,0,"""niggas really comparing pusha's braids to asap rocky's hair braids? fuck outta here with that fruitball talk. i guess bone thugs was biting asap rocky in 94' too huh? smh....""","['``', 'niggas', 'really', 'comparing', 'pusha', ""'s"", 'braids', 'asap', 'rocky', ""'s"", 'hair', 'braids', '?', 'fuck', 'outta', 'fruitball', 'talk', '.', 'guess', 'bone', 'thugs', 'biting', 'asap', 'rocky', '94', ""'"", 'huh', '?', 'smh', '....', ""''""]"
283,0,"""woh!!!! sound like you have read all holy books.""","['``', 'woh', '!', '!', '!', '!', 'sound', 'like', 'read', 'holy', 'books', '.', ""''""]"
284,0,"""red sox fans: you're teams's attendance is pitiful and your fanbase is not knowledgable.
rays fans: yes, but our team and manager are better than yours.
no need to bother reading the rest of the comments""","['``', 'red', 'sox', 'fans', ':', ""'re"", 'teams', ""'s"", 'attendance', 'pitiful', 'fanbase', 'knowledgable.\\nrays', 'fans', ':', 'yes', ',', 'team', 'manager', 'better', 'yours.\\nno', 'need', 'bother', 'reading', 'rest', 'comments', ""''""]"
285,0,"""you are most welcome. now let's see some icons!""","['``', 'welcome', '.', 'let', ""'s"", 'see', 'icons', '!', ""''""]"
286,1,"""lol you act like you have been watching basketball forever, its only ben 8 years moron
""","['``', 'lol', 'act', 'like', 'watching', 'basketball', 'forever', ',', 'ben', '8', 'years', 'moron\\n', ""''""]"
287,1,"""traitor...you are banished ""","['``', 'traitor', '...', 'banished', '``']"
288,1,"""shame on you for using a sock puppet troll account.""","['``', 'shame', 'using', 'sock', 'puppet', 'troll', 'account', '.', ""''""]"
289,1,"""louie would probably tell you to kill yourself....""","['``', 'louie', 'would', 'probably', 'tell', 'kill', '....', ""''""]"
290,0,"""weezy get money..fuck what they talking bout""","['``', 'weezy', 'get', 'money', '..', 'fuck', 'talking', 'bout', ""''""]"
291,0,"""watch yourself blck ggg! i don't know who it is you are pointing this comment towards. one words for you will have to be is  disrespectful. talk what you know because if you did you will now that everybody came from a black women. so watch your god damn mouth!!!!""","['``', 'watch', 'blck', 'ggg', '!', ""n't"", 'know', 'pointing', 'comment', 'towards', '.', 'one', 'words', '\\xa0disrespectful', '.', 'talk', 'know', 'everybody', 'came', 'black', 'women', '.', 'watch', 'god', 'damn', 'mouth', '!', '!', '!', '!', ""''""]"
292,1,"""who the hell died and left you boss?  shut up you whiny ho.""","['``', 'hell', 'died', 'left', 'boss', '?', '\\xa0shut', 'whiny', 'ho', '.', ""''""]"
293,1,"""are you working for the zimermans, amy?  take your scam posts elsewhere.""","['``', 'working', 'zimermans', ',', 'amy', '?', '\\xa0', 'take', 'scam', 'posts', 'elsewhere', '.', ""''""]"
294,0,"""are you from spain?""","['``', 'spain', '?', ""''""]"
295,1,"""i keep forgetting how profoundly stupid this woman is until she opens her mouth. or in this case, gets a hold of a keyboard.""","['``', 'keep', 'forgetting', 'profoundly', 'stupid', 'woman', 'opens', 'mouth', '.', 'case', ',', 'gets', 'hold', 'keyboard', '.', ""''""]"
296,1,"""you are a moron. get off the guys dick""","['``', 'moron', '.', 'get', 'guys', 'dick', ""''""]"
297,0,"""what are you talking about??
totally off.""","['``', 'talking', '?', '?', '\\ntotally', '.', ""''""]"
298,1,"""firstly, go back to skool, you really need to learn how to spell before you start calling someone retarded
and i'm sorry you have been sadly misinformed
i chose to walk away from the drama and lies, if the locks were changed, it was a waste of time i threw my key away when i made the choice to walk away.
and if you had the balls to face me, you would not have hidden like a coward when they tried to serve you.
or you would have shown up and backed your girl.
""","['``', 'firstly', ',', 'go', 'back', 'skool', ',', 'really', 'need', 'learn', 'spell', 'start', 'calling', 'someone', 'retarded\\nand', ""'m"", 'sorry', 'sadly', 'misinformed\\ni', 'chose', 'walk', 'away', 'drama', 'lies', ',', 'locks', 'changed', ',', 'waste', 'time', 'threw', 'key', 'away', 'made', 'choice', 'walk', 'away.\\nand', 'balls', 'face', ',', 'would', 'hidden', 'like', 'coward', 'tried', 'serve', 'you.\\nor', 'would', 'shown', 'backed', 'girl.\\n', ""''""]"
299,0,"""omg...pamela...you are so right! :)""","['``', 'omg', '...', 'pamela', '...', 'right', '!', ':', ')', ""''""]"
300,1,"""the knicks? wtf are you smoking ""","['``', 'knicks', '?', 'wtf', 'smoking', '``']"
301,0,"""what are you talking about?!?""","['``', 'talking', '?', '!', '?', ""''""]"
302,0,"""only if you were living in the other half""","['``', 'living', 'half', ""''""]"
303,0,"""are you sure this won't induce epilepsy/blurred vision/both? :) ""","['``', 'sure', 'wo', ""n't"", 'induce', 'epilepsy/blurred', 'vision/both', '?', ':', ')', '``']"
304,1,"""hey, einstein, perhaps you should have read and understood what you quoted, since it clearly outlines a war room to blunt any movement post-dnc, not during.

is it really shocking that the gop would have a war room in nc, a swing state? 

reading is fundamental. ""","['``', 'hey', ',', 'einstein', ',', 'perhaps', 'read', 'understood', 'quoted', ',', 'since', 'clearly', 'outlines', 'war', 'room', 'blunt', 'movement', 'post-dnc', ',', 'during.\\n\\nis', 'really', 'shocking', 'gop', 'would', 'war', 'room', 'nc', ',', 'swing', 'state', '?', '\\n\\nreading', 'fundamental.', '``']"
305,1,"""@akolak284 <<-------------------------- are you back on prozac ??""","['``', '@', 'akolak284', '<', '<', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', 'back', 'prozac', '?', '?', ""''""]"
306,0,"""i think you are making up your own interpretation""","['``', 'think', 'making', 'interpretation', ""''""]"
307,1,"""were higher than you! are you stupid""","['``', 'higher', '!', 'stupid', ""''""]"
308,1,"""lol.......ralph you are the guys who are still in moi era...""","['``', 'lol', '.......', 'ralph', 'guys', 'still', 'moi', 'era', '...', ""''""]"
309,1,"""you're a moron! ""","['``', ""'re"", 'moron', '!', '``']"
310,1,"""fuck u minier ""","['``', 'fuck', 'u', 'minier', '``']"
311,0,"""@fox-news-871fc82f00858feb9260baed1501a9e3:disqus you hit the nail on the head. illegal is illegal.""","['``', '@', 'fox-news-871fc82f00858feb9260baed1501a9e3', ':', 'disqus\\xa0you', 'hit', 'nail', 'head', '.', 'illegal', 'illegal', '.', ""''""]"
312,0,"""you've got great taste!""","['``', ""'ve"", 'got', 'great', 'taste', '!', ""''""]"
313,0,"""hopefully your comments will start winding down...""","['``', 'hopefully', 'comments', 'start', 'winding', '...', ""''""]"
314,1,"""just because everyone dies does not mean that your gains are offset by another's losses.

you are confused.  another does not have to ""lose"" for you to ""win"" something in life.

what a pathetic little world you live in if you think that is the case.

""","['``', 'everyone', 'dies', 'mean', 'gains', 'offset', 'another', ""'s"", 'losses.\\n\\nyou', 'confused.\\xa0', 'another', '``', 'lose', ""''"", '``', 'win', ""''"", 'something', 'life.\\n\\nwhat', 'pathetic', 'little', 'world', 'live', 'think', 'case.\\n\\n', ""''""]"
315,1,"""mikefromaz5411 - joe, thats because your a loser, you come on here spouting your big mouth like you know something, and you dont know nanda! you said there would only be 1 rb taken in the first rd of the draft there were 3  you moron!!!

joe's the loser?  joe's the one who spouts off?  joe's the one that only pretends to know football?

and then you go off about how he can't read the fos' minds?  you, sir, are half a plum short of a fruit pie.""","['``', 'mikefromaz5411', '-', 'joe', ',', 'thats', 'loser', ',', 'come', 'spouting', 'big', 'mouth', 'like', 'know', 'something', ',', 'dont', 'know', 'nanda', '!', 'said', 'would', '1', 'rb', 'taken', 'first', 'rd', 'draft', '3', 'moron', '!', '!', '!', '\\n\\njoe', ""'s"", 'loser', '?', 'joe', ""'s"", 'one', 'spouts', '?', 'joe', ""'s"", 'one', 'pretends', 'know', 'football', '?', '\\n\\nand', 'go', 'ca', ""n't"", 'read', 'fos', ""'"", 'minds', '?', ',', 'sir', ',', 'half', 'plum', 'short', 'fruit', 'pie', '.', ""''""]"
316,1,"""you are a neanderthal.""","['``', 'neanderthal', '.', ""''""]"
317,1,"""your face resembles a bitch you fuckin twat ""","['``', 'face', 'resembles', 'bitch', 'fuckin', 'twat', '``']"
318,0,"""poor analogy.  at restaurants you can always order an extra side-dish for a small price if you are still hungry, you don't need to order an entire extra meal.  it's not fair to make fat people pay for an entire extra seat when they only need a few inches.""","['``', 'poor', 'analogy.\\xa0', 'restaurants', 'always', 'order', 'extra', 'side-dish', 'small', 'price', 'still', 'hungry', ',', ""n't"", 'need', 'order', 'entire', 'extra', 'meal.\\xa0', ""'s"", 'fair', 'make', 'fat', 'people', 'pay', 'entire', 'extra', 'seat', 'need', 'inches', '.', ""''""]"
319,1,"""you are a fucking loon. seriously. you really come across as someone with mental illness. no emoticons. i think you are seriously unhinged and you need some help.

whoever hurt you, or whatever happened you need to get that addressed, because frank,y, your behavior suggest we will read about you in some mass shooting. 

and yes, you indeed hate men. in almost every thread i have seen of yours, you just go ballistic toward men n general. 

get help. 

seriously.""","['``', 'fucking', 'loon', '.', 'seriously', '.', 'really', 'come', 'across', 'someone', 'mental', 'illness', '.', 'emoticons', '.', 'think', 'seriously', 'unhinged', 'need', 'help.\\n\\nwhoever', 'hurt', ',', 'whatever', 'happened', 'need', 'get', 'addressed', ',', 'frank', ',', ',', 'behavior', 'suggest', 'read', 'mass', 'shooting', '.', '\\n\\nand', 'yes', ',', 'indeed', 'hate', 'men', '.', 'almost', 'every', 'thread', 'seen', ',', 'go', 'ballistic', 'toward', 'men', 'n', 'general', '.', '\\n\\nget', 'help', '.', '\\n\\nseriously', '.', ""''""]"
320,1,"""you moron.""","['``', 'moron', '.', ""''""]"
321,1,"""how creative "" maggot"", you are too funny. i suggest reading some books to expand your vocabulary. have a wonderful day red leg.""","['``', 'creative', '``', 'maggot', ""''"", ',', 'funny', '.', 'suggest', 'reading', 'books', 'expand', 'vocabulary', '.', 'wonderful', 'day', 'red', 'leg', '.', ""''""]"
322,1,"""what was your excuse for arab terror long before the settlement excuse?centuries ago?
which borders do hamas , their elected govt.,accept in return for peace?
which borders do fatah maps show as israel? what do they teach their children?
you are a bunch of lying terrorists who teach genocide not peace. 
""","['``', 'excuse', 'arab', 'terror', 'long', 'settlement', 'excuse', '?', 'centuries', 'ago', '?', '\\nwhich', 'borders', 'hamas', ',', 'elected', 'govt.', ',', 'accept', 'return', 'peace', '?', '\\nwhich', 'borders', 'fatah', 'maps', 'show', 'israel', '?', 'teach', 'children', '?', '\\nyou', 'bunch', 'lying', 'terrorists', 'teach', 'genocide', 'peace', '.', '\\n', ""''""]"
323,0,""" not right now you don't.""","['``', '\\xa0not', 'right', ""n't"", '.', ""''""]"
324,0,"""jean jacket..thats that shit i dont like""","['``', 'jean', 'jacket', '..', 'thats', 'shit', 'dont', 'like', ""''""]"
325,1,"""dude you're an idiot.. alabama didn't play wku""","['``', 'dude', ""'re"", 'idiot', '..', 'alabama', ""n't"", 'play', 'wku', ""''""]"
326,1,"""shitbagger, go fuck your mother up the ass without lube.""","['``', 'shitbagger', ',', 'go', 'fuck', 'mother', 'ass', 'without', 'lube', '.', ""''""]"
327,1,"""you got pathetic and troll right. two outta three ain't bad.""","['``', 'got', 'pathetic', 'troll', 'right', '.', 'two', 'outta', 'three', 'ai', ""n't"", 'bad', '.', ""''""]"
328,0,"""lauren! you are so freaking beautiful!!!""","['``', 'lauren', '!', 'freaking', 'beautiful', '!', '!', '!', ""''""]"
329,1,"""you must be a dumbass nigga your opinion dose not matter here who gives two fucks about your thoughts on nas he is the truth nigga go kill yo self and slap your mom for raising a ignorant fuck as yourself hoe! ""","['``', 'must', 'dumbass', 'nigga', 'opinion', 'dose', 'matter', 'who\\xa0gives', 'two', 'fucks', 'thoughts', 'nas', 'is\\xa0the', 'truth', 'nigga', 'go', 'kill', 'yo', 'self', 'slap', 'mom', 'raising', 'ignorant', 'fuck', 'hoe', '!', '\\xa0', ""''""]"
330,1,"""apparently, bad officiating never gets old to you morons.""","['``', 'apparently', ',', 'bad', 'officiating', 'never', 'gets', 'old', 'morons', '.', ""''""]"
331,0,"""damn how come i didn't see no shit like this when i was in iraq for a whole year, that's fucked up!!""","['``', 'damn', 'come', ""n't"", 'see', 'shit', 'like', 'iraq', 'whole', 'year', ',', ""'s"", 'fucked', '!', '!', ""''""]"
332,0,"""no, you are definitely a virgin.""","['``', ',', 'definitely', 'virgin', '.', ""''""]"
333,1,"""you sir. are re.tarded.""","['``', 'sir', '.', 're.tarded', '.', ""''""]"
334,1,"""you're a gay transvestite, clearly in the middle of yet another ho mo sex u al panic.""","['``', ""'re"", 'gay', 'transvestite', ',', 'clearly', 'middle', 'yet', 'another', 'ho', 'mo', 'sex', 'u', 'al', 'panic', '.', ""''""]"
335,0,""" so are you x ""","['``', '\\xa0so', 'x', '``']"
336,1,"""you forget to like your posts... you must be shook up a bit...""","['``', 'forget', 'like', 'posts', '...', 'must', 'shook', 'bit', '...', ""''""]"
337,1,"""your all mostly worthless shit cause your arguing over religion on the internet and it doesn't even exist grow a pair and go out meet people stop going on like you all know whats going on when really you got your head stuck your own ass reading this realize there is no god hes just a chinese whisper ""","['``', 'mostly', 'worthless', 'shit', 'cause', 'arguing', 'over\\xa0religion\\xa0on', 'internet', ""it\\xa0doesn't\\xa0even\\xa0exist\\xa0grow"", 'pair', 'go', 'meet', 'people', 'stop', 'going', 'like', 'know', 'whats', 'going', 'really', 'got', 'head', 'stuck', 'ass', 'reading', 'this\\xa0realize\\xa0there', 'god', 'hes', 'a\\xa0chinese\\xa0whisper\\xa0', ""''""]"
338,1,"""zero help, the shaq daddy zero help???? you are an imbecile""","['``', 'zero', 'help', ',', 'shaq', 'daddy', 'zero', 'help', '?', '?', '?', '?', 'imbecile', ""''""]"
339,0,"""im waiting for your moms ""","['``', 'im', 'waiting', 'moms\\xa0', ""''""]"
340,1,"""<div class=""forum-item forum-reply""><div class=""forum-item-description"">1:44am on a friday night..... wow <br><br>seriously get a life or girlfriend you are pathetic <br><br></div></div>""","['``', '<', 'div', 'class=', ""''"", 'forum-item', 'forum-reply', ""''"", '>', '<', 'div', 'class=', ""''"", 'forum-item-description', ""''"", '>', '1:44am', 'friday', 'night', '.....', 'wow', '<', 'br', '>', '<', 'br', '>', 'seriously', 'get', 'life', 'girlfriend', 'pathetic', '<', 'br', '>', '<', 'br', '>', '<', '/div', '>', '<', '/div', '>', ""''""]"
341,1,"""and those from your north are the saints that must live? a demented and stupid fellow like you liked this shit you posted as comment.""","['``', 'north', 'saints', 'must', 'live', '?', 'demented', 'stupid', 'fellow', 'like', 'liked', 'shit', 'posted', 'comment', '.', ""''""]"
342,0,"""you must be very proud to say your team won 37 years ago. go devils""","['``', 'must', 'proud', 'say', 'team', '37', 'years', 'ago', '.', 'go', 'devils', ""''""]"
343,0,"""kinda like your name.""","['``', 'kinda', 'like', 'name', '.', ""''""]"
344,1,"""you suck coffey""","['``', 'suck', 'coffey', ""''""]"
345,1,"""you tool. this story is about charity and then you come in ""herp a derp.... cubs suck... derp....curse... go sox!"" screw off idiot""","['``', 'tool', '.', 'story', 'charity', 'come', '``', 'herp', 'derp', '....', 'cubs', 'suck', '...', 'derp', '....', 'curse', '...', 'go', 'sox', '!', ""''"", 'screw', 'idiot', ""''""]"
346,1,"""god, you're as bad of an a-hole and fud-spreader as the person you are responding to...""","['``', 'god', ',', ""'re"", 'bad', 'a-hole', 'fud-spreader', 'person', 'responding', '...', ""''""]"
347,1,"""have you ever been though a hurricane moron? its a lot more than just ""a little rain"". i guess when you get hit with the worst case scenario you can be on your own. good luck""","['``', 'ever', 'though', 'hurricane', 'moron', '?', 'lot', '``', 'little', 'rain', ""''"", '.', 'guess', 'get', 'hit', 'worst', 'case', 'scenario', '.', 'good', 'luck', ""''""]"
348,0,"""my first kdrama crush  :d looking forward to your comeback""","['``', 'first', 'kdrama', 'crush\\xa0', ':', 'looking', 'forward', 'comeback', ""''""]"
349,0,"""could you improve your picture viewer as it reloads the who page just to move to the next image. unless you are counting each image as a page view for your hits its not what i would call a good idea,""","['``', 'could', 'improve', 'picture', 'viewer', 'it\\xa0reloads\\xa0the', 'page', 'move', 'next', 'image', '.', 'unless', 'counting', 'image', 'page', 'view', 'hits', 'would', 'call', 'good', 'idea', ',', ""''""]"
350,1,"""nope.better then your common sense.""","['``', 'nope.better', 'common', 'sense', '.', ""''""]"
351,0,"""bring you checkbook, we're scumbags but we're not cheap.""","['``', 'bring', 'checkbook', ',', ""'re"", 'scumbags', ""'re"", 'cheap', '.', ""''""]"
352,1,"""simpler potential explanation: the ""msm"" has no clue what the hell an <i>anarchist/situationalist collective</i> is, nor do its readers.""","['``', 'simpler', 'potential', 'explanation', ':', '``', 'msm', ""''"", 'clue', 'hell', '<', '>', 'anarchist/situationalist', 'collective', '<', '/i', '>', ',', 'readers', '.', ""''""]"
353,0,"""do you remember out posters lol""","['``', 'remember', 'posters', 'lol', ""''""]"
354,1,"""are you having trouble remembering which account your signed into?""","['``', 'trouble', 'remembering', 'account', 'signed', '?', ""''""]"
355,0,"""yes!!! exellent i fucking hate dog owers that let their dogs shite on 
the ground, especially right in the middle of paths and pavements.



they always say to me 'good morning.' when they walk by me... it will be a
 good morining if you'd stop letting your dogs shit on the middle of the
 path, twats.""","['``', 'yes', '!', '!', '!', 'exellent', 'fucking', 'hate', 'dog', 'owers', 'let', 'dogs', 'shite', '\\nthe', 'ground', ',', 'especially', 'right', 'middle', 'paths', 'pavements.\\n\\n\\n\\nthey', 'always', 'say', ""'good"", 'morning', '.', ""'"", 'walk', '...', 'a\\n', 'good', 'morining', ""'d"", 'stop', 'letting', 'dogs', 'shit', 'middle', 'the\\n', 'path', ',', 'twats', '.', ""''""]"
